Epoch,Loss,Val Acc
146,0.39969661831855774,0.73
147,0.35278987884521484,0.734
148,0.38537171483039856,0.716
149,0.3969529867172241,0.738
150,0.40877705812454224,0.726
151,0.37708407640457153,0.736
152,0.38765934109687805,0.714
153,0.4143400490283966,0.706
154,0.40609797835350037,0.728
155,0.3473992943763733,0.71
156,0.35939261317253113,0.736
157,0.37892699241638184,0.722
158,0.3606838583946228,0.722
159,0.39234307408332825,0.72
160,0.3644249141216278,0.74
161,0.3587299585342407,0.708
162,0.3795716464519501,0.758
163,0.3654833436012268,0.742
164,0.36686617136001587,0.708
165,0.35824188590049744,0.72
166,0.3267037570476532,0.724
167,0.3972686231136322,0.71
168,0.3089613616466522,0.7
169,0.346373051404953,0.738
170,0.32851114869117737,0.728
171,0.34960120916366577,0.742
172,0.37061259150505066,0.742
173,0.3209149241447449,0.722
174,0.34496352076530457,0.74
175,0.35502710938453674,0.742
176,0.3865252435207367,0.744
177,0.341810017824173,0.742
178,0.31220826506614685,0.746
179,0.3498852252960205,0.734
180,0.3526005744934082,0.73
181,0.31373193860054016,0.738
182,0.33796578645706177,0.718
183,0.3462967872619629,0.724
184,0.32236483693122864,0.722
185,0.3104347586631775,0.714
186,0.35980165004730225,0.72
187,0.29121747612953186,0.732
188,0.3023977279663086,0.712
189,0.3268522322177887,0.708
190,0.2930448651313782,0.732
191,0.33703848719596863,0.728
192,0.2928757965564728,0.708
193,0.33530324697494507,0.728
194,0.2722436785697937,0.726
195,0.3081396222114563,0.74
196,0.30648353695869446,0.748
197,0.3495599031448364,0.746
198,0.34368500113487244,0.724
199,0.2992117702960968,0.722
200,0.3182101249694824,0.724
